# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.000942478 0.00037389 0.39671 -25.8443 0 20 0 0 -25.4592  -28.0704 0 14.1715 0 0 -28.1294  -1.09625 0 0.423337 0 0 -1.02738  3.32241 0 5.40515 0 0 3.69757  0 0 0 0 0 0  
0.0942478 0.0142947 0.115074 -26 0 20 0 0 -27.3833  -26.5242 0 18.3175 0 0 -28.0609  -0.298705 0 0.138229 0 0 -0.286643  0.82291 0 1.54422 0 0 0.964314  0 0 0 0 0 0  
0.188496 0.0237188 0.0876468 -28.6382 0 20 0 0 -30.8289  -28.9599 0 18.7881 0 0 -31.3087  -0.210372 0 0.113553 0 0 -0.201884  0.532062 0 1.09831 0 0 0.681673  0 0 0 0 0 0  
0.282743 0.0312271 0.0703826 -30.9635 0 20 0 0 -33.3807  -31.1507 0 19.061 0 0 -33.7033  -0.134432 0 0.0997805 0 0 -0.12065  0.321597 0 0.839209 0 0 0.443184  0 0 0 0 0 0  
0.376991 0.0373442 0.0594593 -32.8959 0 20 0 0 -35.3331  -33.0654 0 19.2596 0 0 -35.6056  -0.095727 0 0.0790296 0 0 -0.0938316  0.265306 0 0.66137 0 0 0.36638  0 0 0 0 0 0  
0.471239 0.0426587 0.0539106 -34.0399 0 20 0 0 -36.8708  -34.1758 0 19.3592 0 0 -37.0971  -0.0739759 0 0.0705608 0 0 -0.0720704  0.209875 0 0.570288 0 0 0.2984  0 0 0 0 0 0  
0.565487 0.0475899 0.0514194 -34.9244 0 20 0 0 -37.827  -35.0458 0 19.4026 0 0 -38.0264  -0.0689714 0 0.071321 0 0 -0.0625275  0.190349 0 0.526034 0 0 0.261879  0 0 0 0 0 0  
0.659734 0.0523246 0.0498416 -35.9443 0 20 0 0 -38.8555  -36.0563 0 19.4223 0 0 -39.0256  -0.0653036 0 0.0746648 0 0 -0.0541892  0.177316 0 0.503048 0 0 0.224282  0 0 0 0 0 0  
0.753982 0.0569275 0.0484258 -37.0127 0 20 0 0 -39.7913  -37.1059 0 19.4446 0 0 -39.9325  -0.0622787 0 0.0760574 0 0 -0.0554531  0.155448 0 0.479305 0 0 0.196651  0 0 0 0 0 0  
0.84823 0.0613587 0.046416 -38.2714 0 20 0 0 -40.8188  -38.3521 0 19.4838 0 0 -40.9394  -0.0469178 0 0.0742546 0 0 -0.0497231  0.127704 0 0.44194 0 0 0.170272  0 0 0 0 0 0  
